Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
nn,nn,"",yellowsweets,,,"",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,,,active
gift-card,Gift Card,"<p>Shopping for someone else but not sure what to give them?
Give them the gift of choice with a yellowsweets gift card.</p>

<p>Gift cards are delivered by email and contain instructions to redeem them at checkout.
Our gift cards have no additional processing fees.</p>
",yellowsweets,Gift Cards,Gift Card,"",false,Title,$10.00 CAD,,,,,"",0.0,,continue,gift_card,10.00,,false,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/e38bd83af578077b65a31424bd24d085.png?v=1585169263,1,,true,,,,,,,,,,,,,,,,,kg,,,,,active
gift-card,,,,,,,,,$25.00 CAD,,,,,"",0.0,,continue,gift_card,25.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gift-card,,,,,,,,,$50.00 CAD,,,,,"",0.0,,continue,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
gift-card,,,,,,,,,$100.00 CAD,,,,,"",0.0,,continue,gift_card,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,AOLIKES 1 pièces 2019 genou soutien professionnel de protection sport genouillère respirant pansement genouillère basket-ball Tennis cyclisme,"<p><span><strong>Nom de la marque:</strong> Aolikes</span><br><span><strong>Âge:</strong> Universel</span><br><span><strong>Matériel:</strong> Nylon,Spandex,Latex</span><br><span><strong>Numéro du modèle:</strong> A-7720</span><br><span><strong>Product:</strong> Breathable Sport knee support</span><br><span><strong>Size:</strong> S/M/L/XL/XXL/XXXL</span><br><span><strong>Color:</strong> Green/Black/Orange/Pink</span><br><span><strong>Suit Sport:</strong> Football,Basketball,Badminton,Riding,Mountaineering,Other Sport</span><br><span><strong>Featuers:</strong> Soft, Double Pressure, Breathable, High elastic</span></p>",yellowsweets,,,"",true,Couleur,Green,Taille,S,,,16512482-green-s,0.0,shopify,deny,oberlo,9.86,9.86,true,true,"",https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476636.jpg?v=1584384482,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,active
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Green,,M,,,16512482-green-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Green,,L,,,16512482-green-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black,,S,,,16512482-black-s,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black,,M,,,16512482-black-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,kg,,,,,
