('16512482-green-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'S', 986),
('16512482-green-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'M', 986),
('16512482-green-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'L', 986),
('16512482-black-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'S', 986),
('16512482-black-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'M', 986),
('16512482-black-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'L', 986),
('16512482-orange-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'S', 986),
('16512482-orange-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'M', 986),
('16512482-orange-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'L', 986),
('16512482-green-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'XL', 986),
('16512482-green-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'XXL', 986),
('16512482-black-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'XL', 986),
('16512482-black-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'XXL', 986),
('16512482-orange-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'XL', 986),
('16512482-orange-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'XXL', 986),
('16512482-green-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489', 'Green', 'XXXL', 1060),
('16512482-black-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484', 'Black', 'XXXL', 1060),
('16512482-orange-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482', 'Orange', 'XXXL', 1060),
